funding_timestamp,funding_rate,event_time
1610668800000,0.00071389,2021-01-15 00:00:00+00:00
1610697600000,0.00027089,2021-01-15 08:00:00+00:00
1610726400000,0.00059983,2021-01-15 16:00:00+00:00
1610755200000,0.00068216,2021-01-16 00:00:00+00:00
1610784000000,0.00021172,2021-01-16 08:00:00+00:00
1610812800000,0.0001534,2021-01-16 16:00:00+00:00
1610841600000,0.00113045,2021-01-17 00:00:00+00:00
1610870400000,0.0014974,2021-01-17 08:00:00+00:00
1610899200000,0.00128478,2021-01-17 16:00:00+00:00
1610928000000,0.00071927,2021-01-18 00:00:00+00:00
1610956800000,0.00095312,2021-01-18 08:00:00+00:00
1610985600000,0.00058408,2021-01-18 16:00:00+00:00
1611014400000,0.00080829,2021-01-19 00:00:00+00:00
1611043200000,0.00117208,2021-01-19 08:00:00+00:00
1611072000000,0.00224006,2021-01-19 16:00:00+00:00
1611100800000,0.00294463,2021-01-20 00:00:00+00:00
1611129600000,0.00273227,2021-01-20 08:00:00+00:00
1611158400000,0.00171093,2021-01-20 16:00:00+00:00
1611187200000,0.00085571,2021-01-21 00:00:00+00:00
1611216000000,0.00028678,2021-01-21 08:00:00+00:00
1611244800000,0.000527,2021-01-21 16:00:00+00:00
1611273600000,0.0002003,2021-01-22 00:00:00+00:00
1611302400000,0.00018394,2021-01-22 08:00:00+00:00
1611331200000,0.0001,2021-01-22 16:00:00+00:00
1611360000000,0.0001,2021-01-23 00:00:00+00:00
1611388800000,0.0001,2021-01-23 08:00:00+00:00
1611417600000,0.0001,2021-01-23 16:00:00+00:00
1611446400000,0.0001009,2021-01-24 00:00:00+00:00
1611475200000,0.00078029,2021-01-24 08:00:00+00:00
1611504000000,0.0005103,2021-01-24 16:00:00+00:00
1611532800000,0.0008162,2021-01-25 00:00:00+00:00
1611561600000,0.00060054,2021-01-25 08:00:00+00:00
1611590400000,0.00121105,2021-01-25 16:00:00+00:00
1611619200000,0.00114286,2021-01-26 00:00:00+00:00
1611648000000,0.00060344,2021-01-26 08:00:00+00:00
1611676800000,0.0002431,2021-01-26 16:00:00+00:00
1611705600000,0.0001,2021-01-27 00:00:00+00:00
1611734400000,0.0001,2021-01-27 08:00:00+00:00
1611763200000,0.0001,2021-01-27 16:00:00+00:00
1611792000000,0.0001,2021-01-28 00:00:00+00:00
1611820800000,0.0001,2021-01-28 08:00:00+00:00
1611849600000,0.0001,2021-01-28 16:00:00+00:00
1611878400000,0.00027915,2021-01-29 00:00:00+00:00
1611907200000,0.00086464,2021-01-29 08:00:00+00:00
1611936000000,0.00092632,2021-01-29 16:00:00+00:00
1611964800000,0.00264513,2021-01-30 00:00:00+00:00
1611993600000,0.00229272,2021-01-30 08:00:00+00:00
1612022400000,0.00151236,2021-01-30 16:00:00+00:00
1612051200000,0.0008813,2021-01-31 00:00:00+00:00
1612080000000,0.00117289,2021-01-31 08:00:00+00:00
1612108800000,0.00125302,2021-01-31 16:00:00+00:00
1612137600000,0.00098384,2021-02-01 00:00:00+00:00
1612166400000,0.00042485,2021-02-01 08:00:00+00:00
1612195200000,0.00033673,2021-02-01 16:00:00+00:00
1612224000000,0.00060633,2021-02-02 00:00:00+00:00
1612252800000,0.0004151,2021-02-02 08:00:00+00:00
1612281600000,0.00126403,2021-02-02 16:00:00+00:00
1612310400000,0.00202471,2021-02-03 00:00:00+00:00
1612339200000,0.00242595,2021-02-03 08:00:00+00:00
1612368000000,0.00290019,2021-02-03 16:00:00+00:00
1612396800000,0.00268662,2021-02-04 00:00:00+00:00
1612425600000,0.00221333,2021-02-04 08:00:00+00:00
1612454400000,0.00210891,2021-02-04 16:00:00+00:00
1612483200000,0.00215782,2021-02-05 00:00:00+00:00
1612512000000,0.00188481,2021-02-05 08:00:00+00:00
1612540800000,0.00191542,2021-02-05 16:00:00+00:00
1612569600000,0.00217485,2021-02-06 00:00:00+00:00
1612598400000,0.00193768,2021-02-06 08:00:00+00:00
1612627200000,0.00155308,2021-02-06 16:00:00+00:00
1612656000000,0.00170142,2021-02-07 00:00:00+00:00
1612684800000,0.00202334,2021-02-07 08:00:00+00:00
